"PTES";"ESP";"METER";"ACCOUNT_NO";"EARLIEST_OCCURRED_TIME";"LATEST_OCCURRED_TIME";"EVENT_NAME";"EVENT_CODE"
Namangan HETK;To‘raqo‘rg‘on TETK;"111230270263";"14224+!!111230270263";"2024-07-31 07:15:54";"2024-07-31 13:31:16";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Baxoriston ETK;"121206612749";"00250063";"2024-07-31 11:31:49";"2024-07-31 18:03:23";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Koson TETK;"121206458540";"00741067";"2024-07-31 06:53:11";"2024-07-31 08:33:48";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qarshi ShETK;"121206682303";"0480286";"2024-07-30 12:05:51";"2024-07-30 15:31:29";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qarshi ShETK;"121206741020";"290324";"2024-07-31 07:52:43";"2024-07-31 07:52:43";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qarshi ShETK;"121206907252";"10401!!786907252";"2024-07-31 08:31:40";"2024-07-31 20:49:51";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Koson TETK;"121205815193";"00650137";"2024-07-31 07:50:12";"2024-07-31 23:50:29";Current unbalance occurrence;"0030"
Farg‘ona HETK;Quvasoy ShETK;"111190103991";"0027048";"2024-08-01 14:46:08";"2024-08-01 14:46:08";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Koson TETK;EX-2912258;"00740731";"2024-07-30 00:17:24";"2024-08-01 10:30:08";Terminal cover opened;"0050"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206410376";"0205570";"2024-07-31 10:18:32";"2024-08-01 14:27:29";Terminal cover opened;"0050"
Namangan HETK;Mingbuloq TETK;"111210867320";"5558094";"2024-07-31 07:49:08";"2024-08-01 08:13:46";Terminal cover opened;"0050"
Namangan HETK;To‘raqo‘rg‘on TETK;"111230265028";"14224!!+!0265028";"2024-07-31 03:56:51";"2024-08-01 06:34:36";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qarshi ShETK;"121206183824";"0680715";"2024-07-31 14:54:44";"2024-07-31 14:54:44";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qarshi ShETK;"121206834168";"490706";"2024-07-30 12:30:38";"2024-07-30 14:46:20";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qarshi ShETK;EX-2728159;"0660022";"2024-07-31 14:38:43";"2024-07-31 16:46:32";Terminal cover opened;"0050"
Samarqand HETK;Samarqand TETK (Do‘stlik);"021198062700";"1547055";"2024-08-01 14:24:39";"2024-08-01 14:24:39";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206460459";"0106509";"2024-07-31 12:06:57";"2024-07-31 13:05:05";Current unbalance occurrence;"0030"
Namangan HETK;To‘raqo‘rg‘on TETK;"111220179710";"555691";"2024-08-01 14:43:56";"2024-08-01 14:43:56";Current unbalance occurrence;"0030"
Namangan HETK;To‘raqo‘rg‘on TETK;"111230276040";"521186";"2024-07-31 00:13:47";"2024-08-01 07:25:52";Current unbalance occurrence;"0030"
Farg‘ona HETK;Qo‘qon ShETK;"111240281971";-1;"2024-01-15 10:20:54";"2024-07-19 10:57:01";Terminal cover opened;"0050"
Farg‘ona HETK;Qo‘qon ShETK;"111240283166";-1;"2024-01-18 11:15:27";"2024-01-23 08:03:16";Terminal cover opened;"0050"
Farg‘ona HETK;Qo‘qon ShETK;"111240283877";-1;"2024-01-17 15:44:05";"2024-07-05 14:48:35";Terminal cover opened;"0050"
Farg‘ona HETK;Qo‘qon ShETK;"111240279070";-1;"2024-01-15 09:07:44";"2024-01-17 15:51:52";Terminal cover opened;"0050"
Farg‘ona HETK;Quvasoy ShETK;"111190177968";"0585081";"2024-08-01 14:46:26";"2024-08-01 14:46:26";Current unbalance occurrence;"0030"
Farg‘ona HETK;Quvasoy ShETK;"111190171190";"0017130";"2024-08-01 14:45:10";"2024-08-01 14:45:10";Current unbalance occurrence;"0030"
Andijon HETK;Jalaquduq TETK;"121206195127";"4036403";"2024-07-31 06:14:41";"2024-07-31 06:14:41";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205895357";"0096405";"2024-07-31 13:16:00";"2024-07-31 13:16:00";Terminal cover opened;"0050"
Farg‘ona HETK;Qo‘qon ShETK;"111240281210";-1;"2024-01-19 11:13:47";"2024-01-23 08:52:26";Terminal cover opened;"0050"
Farg‘ona HETK;Yozyovon TETK;"114210114648";"000229111";"2024-08-01 13:24:37";"2024-08-01 13:27:47";L2 Current without voltage occurrence;"0110"
Farg‘ona HETK;Qo‘qon ShETK;"111240280394";-1;"2024-01-18 15:39:46";"2024-07-13 10:14:40";Terminal cover opened;"0050"
Qashqadaryo HETK;Koson TETK;"121205593172";"00700490";"2024-07-31 23:20:55";"2024-07-31 23:20:55";Current unbalance occurrence;"0030"
Farg‘ona HETK;Qo‘qon ShETK;"111240281340";-1;"2024-01-18 15:35:08";"2024-07-09 13:46:22";Terminal cover opened;"0050"
Toshkent HETK;Bekobod ShETK;"111210467104";"2053039";"2024-08-01 14:45:43";"2024-08-01 14:45:43";Current unbalance occurrence;"0030"
Toshkent HETK;Yuqorichirchiq TETK;"111230206718";-1;"2023-05-30 14:09:55";"2023-06-16 10:26:37";Terminal cover opened;"0050"
Toshkent HETK;Oxangaron TETK;"111190022723";"0130615";"2024-07-29 00:05:07";"2024-07-29 19:38:16";Terminal cover opened;"0050"
Jizzax HETK;Paxtakor TETK;"021180135589";"0604072";"2024-07-31 15:45:41";"2024-07-31 15:45:41";Terminal cover opened;"0050"
Sirdaryo HETK;Mirzaobod TETK;"114210150805";"000259068";"2024-08-01 14:46:00";"2024-08-01 14:46:00";L2 Current without voltage occurrence;"0110"
Qashqadaryo HETK;G‘uzor TETK;"121205290571";"0049404";"2024-07-31 14:58:08";"2024-07-31 23:57:39";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206427297";"0136056";"2024-07-31 20:21:50";"2024-07-31 20:21:50";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206467588";"0101327";"2024-07-30 05:56:07";"2024-07-30 17:34:35";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206489313";"0135167";"2024-07-31 05:06:46";"2024-07-31 05:06:46";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206492801";"0136031";"2024-07-31 01:43:59";"2024-07-31 04:20:34";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206665965";"0136062";"2024-07-30 07:09:03";"2024-07-31 23:19:03";Current unbalance occurrence;"0030"
Namangan HETK;Uchqo‘rg‘on TETK;"111200289508";"6406058";"2024-08-01 14:43:59";"2024-08-01 14:43:59";Current unbalance occurrence;"0030"
Namangan HETK;Uchqo‘rg‘on TETK;"111190053400";"6198027";"2024-08-01 14:43:41";"2024-08-01 14:43:41";Current unbalance occurrence;"0030"
Namangan HETK;Uchqo‘rg‘on TETK;"111190000067";"6196003";"2024-08-01 14:45:59";"2024-08-01 14:45:59";Current unbalance occurrence;"0030"
Namangan HETK;Uchqo‘rg‘on TETK;"111190098735";"6391015";"2024-08-01 14:45:38";"2024-08-01 14:45:38";Current unbalance occurrence;"0030"
Namangan HETK;Uchqo‘rg‘on TETK;"111200805020";"6177031";"2024-08-01 14:43:18";"2024-08-01 14:43:18";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yakkasaroy TETK;"121205068046";"0666414";"2024-07-31 08:52:24";"2024-07-31 17:46:58";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yakkasaroy TETK;"121205073666";"0666317";"2024-07-31 15:29:33";"2024-07-31 15:29:33";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yakkasaroy TETK;"121205073907";"0666380";"2024-07-31 12:57:46";"2024-07-31 14:48:55";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yakkasaroy TETK;"121205398144";"142101";"2024-07-31 19:35:22";"2024-07-31 19:35:22";Current unbalance occurrence;"0030"
Namangan HETK;Uchqo‘rg‘on TETK;"111190135137";"6246094";"2024-08-01 14:46:24";"2024-08-01 14:46:24";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205203116";"1014063";"2024-07-30 06:53:27";"2024-07-31 08:17:16";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205203123";"1014048";"2024-07-30 10:38:16";"2024-07-31 23:59:31";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205798629";"063106";"2024-07-30 01:51:03";"2024-07-31 18:58:14";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205197709";"0214018";"2024-07-30 13:59:11";"2024-07-30 13:59:11";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205197849";"0214152";"2024-07-29 13:30:02";"2024-07-30 13:57:18";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205198091";"0214038";"2024-07-29 03:17:17";"2024-07-29 03:17:17";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205210723";"0214010";"2024-07-29 11:59:25";"2024-07-30 16:10:58";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205829311";"145797";"2024-07-29 12:42:52";"2024-07-29 12:42:52";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205064276";"0248559";"2024-07-29 19:10:23";"2024-07-29 20:41:31";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205065750";"0248479";"2024-07-29 23:44:34";"2024-07-30 20:41:05";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205065878";"0248488";"2024-07-28 11:42:05";"2024-07-29 07:45:56";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205066003";"0248454";"2024-07-29 13:34:07";"2024-07-31 22:41:13";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205066004";"0248455";"2024-07-29 19:32:05";"2024-07-31 22:38:19";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205066005";"0248453";"2024-07-29 13:34:06";"2024-07-31 22:41:12";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205068253";"0248503";"2024-07-29 22:29:27";"2024-07-29 22:29:27";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205068863";"0248568";"2024-07-29 02:41:14";"2024-07-31 17:24:21";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205065444";"1482139";"2024-07-29 09:42:41";"2024-07-29 14:59:13";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205065449";"1482141";"2024-07-29 08:17:23";"2024-07-29 19:38:58";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205065626";"1482153";"2024-07-29 01:09:00";"2024-07-29 08:38:10";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205065626";"1482153";"2024-07-29 15:08:37";"2024-07-29 15:08:37";Terminal cover opened;"0050"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205386172";"140170";"2024-07-30 18:36:59";"2024-07-31 18:40:05";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206582473";"259550";"2024-07-30 10:41:45";"2024-07-30 10:41:45";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205244944";"1113073";"2024-07-31 17:50:55";"2024-07-31 17:50:55";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205855376";"1101446";"2024-07-31 14:39:56";"2024-07-31 14:39:56";Terminal cover opened;"0050"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206532188";"1267493";"2024-07-28 22:27:36";"2024-07-28 22:27:36";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;EX-2536860;"0340027";"2024-08-01 01:56:07";"2024-08-01 01:56:07";Terminal cover opened;"0050"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205354850";"143140";"2024-07-30 19:46:37";"2024-07-31 19:47:08";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yakkasaroy TETK;"121205156629";"0515641";"2024-07-31 23:10:25";"2024-07-31 23:10:25";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yakkasaroy TETK;"121206582297";"257456";"2024-07-31 10:05:36";"2024-07-31 10:05:36";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Shayxontohur TETK;"124200543957";-1;"2024-04-25 14:56:49";"2024-04-25 14:56:49";Terminal cover opened;"0050"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205493864";"140783";"2024-07-30 06:56:12";"2024-07-31 20:03:39";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205122142";"1264578";"2024-07-30 00:10:17";"2024-07-31 23:09:42";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205074246";"1264563";"2024-07-30 21:41:29";"2024-07-30 21:41:29";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205074885";"1264527";"2024-07-30 11:50:08";"2024-07-31 15:29:49";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205493547";"1166315";"2024-07-30 14:39:44";"2024-07-31 23:57:56";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206925428";"0576156";"2024-07-31 01:26:15";"2024-07-31 01:46:56";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205124710";"1294078";"2024-07-31 22:29:44";"2024-07-31 22:29:44";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205124878";"1294069";"2024-07-30 12:36:49";"2024-07-31 21:31:32";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205124881";"1294070";"2024-07-30 02:35:55";"2024-07-31 11:41:29";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205124968";"1294051";"2024-07-30 10:28:37";"2024-07-31 23:15:03";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205134997";"1166169";"2024-07-30 09:06:52";"2024-07-31 20:03:45";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205072221";"1166209";"2024-07-30 09:45:42";"2024-07-31 15:56:45";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205195914";"1166177";"2024-07-29 09:04:00";"2024-07-31 22:40:16";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205311545";"142559";"2024-07-30 20:00:56";"2024-07-31 20:04:07";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205311547";"142559";"2024-07-30 20:30:25";"2024-07-31 20:17:32";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205311707";"142559";"2024-07-30 20:14:53";"2024-07-31 19:10:54";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205762483";"253456";"2024-07-30 10:48:13";"2024-07-31 22:47:44";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205497152";"1638602";"2024-07-30 09:21:51";"2024-07-31 23:22:01";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205843252";"1638328";"2024-07-29 15:24:57";"2024-07-31 19:29:20";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205310189";"0202291";"2024-07-30 02:46:33";"2024-07-31 09:50:55";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206532110";"147254";"2024-07-31 01:51:08";"2024-07-31 22:53:47";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121206924992";"0202195";"2024-07-30 09:53:16";"2024-07-30 09:53:16";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;"121205798811";"1346173";"2024-07-30 12:39:37";"2024-07-31 23:47:15";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Mirzo Ulug‘bek TETK;EX-2617138;"1842176";"2024-07-30 21:46:42";"2024-08-01 00:54:05";Terminal cover opened;"0050"
Toshkent shahar ETK;Uchtepa TETK;"121205126973";"143666";"2024-07-31 20:27:22";"2024-07-31 20:27:22";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Uchtepa TETK;EX-2768501;"1072188";"2024-07-31 14:26:53";"2024-07-31 23:52:03";Terminal cover opened;"0050"
Toshkent shahar ETK;Uchtepa TETK;"121205126831";"149464";"2024-07-30 19:52:28";"2024-07-31 20:00:11";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205390326";"0078385";"2024-07-31 05:45:37";"2024-07-31 09:47:26";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206399698";T6399698;"2024-07-31 06:07:38";"2024-07-31 18:09:50";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205287301";"0018358";"2024-07-31 01:02:35";"2024-07-31 21:20:04";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206483602";"0020209";"2024-07-31 01:10:29";"2024-07-31 08:28:18";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Koson TETK;"121206680327";"10229!121206680327";"2024-07-31 00:44:00";"2024-07-31 12:45:56";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206452064";"0027124";"2024-07-31 03:24:34";"2024-07-31 19:23:48";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206465920";"0027099";"2024-07-31 01:30:11";"2024-07-31 20:53:02";Current unbalance occurrence;"0030"
Toshkent HETK;O‘rtachirchiq TETK;"111200052104";"3591543";"2024-07-18 18:15:36";"2024-08-01 02:49:43";Terminal cover opened;"0050"
Qashqadaryo HETK;Chiroqchi TETK;"121206451789";"0031526";"2024-07-31 10:43:48";"2024-07-31 20:02:27";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121206604843";"0031795";"2024-07-31 20:18:16";"2024-07-31 20:18:16";Current unbalance occurrence;"0030"
Toshkent HETK;O‘rtachirchiq TETK;"111210519611";"4683100";"2024-07-01 14:13:52";"2024-07-01 14:13:52";Terminal cover opened;"0050"
Qashqadaryo HETK;Kitob TETK;"121206245467";"0188235";"2024-07-31 15:33:18";"2024-07-31 19:08:46";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Kitob TETK;"121206246943";"0200145";"2024-07-31 06:29:49";"2024-07-31 17:24:02";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Kitob TETK;"121206437931";"0188426";"2024-07-31 07:11:38";"2024-07-31 19:43:38";Current unbalance occurrence;"0030"
Toshkent HETK;O‘rtachirchiq TETK;"111210834442";"0941246";"2024-06-27 13:46:52";"2024-06-27 13:46:52";Terminal cover opened;"0050"
Farg‘ona HETK;Buvayda TETK;"111210109161";"1054282";"2024-08-01 14:45:02";"2024-08-01 14:45:02";Current unbalance occurrence;"0030"
Farg‘ona HETK;Buvayda TETK;"111210118204";"1054028";"2024-08-01 14:44:42";"2024-08-01 14:44:42";Current unbalance occurrence;"0030"
Toshkent HETK;O‘rtachirchiq TETK;"114210145613";"000303504";"2024-07-24 01:15:23";"2024-07-24 12:55:49";L2 Current without voltage occurrence;"0110"
Toshkent HETK;O‘rtachirchiq TETK;"111200708498";"2520715";"2024-06-25 18:34:42";"2024-06-29 20:21:24";Terminal cover opened;"0050"
Toshkent HETK;O‘rtachirchiq TETK;"111200625929";"2530660";"2024-07-25 19:17:20";"2024-07-25 19:17:20";Terminal cover opened;"0050"
Toshkent HETK;O‘rtachirchiq TETK;"111190415497";"3592388";"2024-07-22 21:21:41";"2024-07-22 21:21:41";Terminal cover opened;"0050"
Qashqadaryo HETK;Qamashi TETK;"121206723156";"0820111";"2024-07-31 05:23:12";"2024-07-31 17:20:27";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Qamashi TETK;"123200475855";"0820350";"2024-08-01 10:35:21";"2024-08-01 11:05:22";Terminal cover opened;"0050"
Farg‘ona HETK;Rishton TETK;"111210313209";"0050006";"2024-08-01 14:46:09";"2024-08-01 14:46:09";Current unbalance occurrence;"0030"
Toshkent HETK;O‘rtachirchiq TETK;"114210102146";"270120";"2024-06-26 03:32:58";"2024-07-16 11:02:39";L2 Current without voltage occurrence;"0110"
Toshkent HETK;O‘rtachirchiq TETK;"114210154286";"000301680";"2024-06-25 06:47:35";"2024-08-01 13:35:11";L2 Current without voltage occurrence;"0110"
Toshkent HETK;O‘rtachirchiq TETK;"113210009394";"470497";"2024-07-07 13:46:00";"2024-07-07 13:46:00";Terminal cover opened;"0050"
Toshkent HETK;O‘rtachirchiq TETK;"111210143694";"2124805";"2024-07-30 17:45:47";"2024-07-30 17:45:47";Terminal cover opened;"0050"
Toshkent HETK;O‘rtachirchiq TETK;"111210850685";"2124830";"2024-07-19 11:58:08";"2024-07-19 11:58:08";Terminal cover opened;"0050"
Toshkent HETK;O‘rtachirchiq TETK;"111220103645";"4142445";"2024-07-20 17:29:36";"2024-07-20 17:29:36";Terminal cover opened;"0050"
Toshkent HETK;O‘rtachirchiq TETK;"111230271798";"27253+!!111230271798";"2024-07-30 12:04:44";"2024-07-30 22:01:24";Terminal cover opened;"0050"
Farg‘ona HETK;Bog‘dod TETK;"111210025272";"31020250";"2024-08-01 14:45:47";"2024-08-01 14:45:47";Current unbalance occurrence;"0030"
Farg‘ona HETK;Bog‘dod TETK;"114210114383";"000229812";"2024-08-01 14:11:59";"2024-08-01 14:11:59";L2 Current without voltage occurrence;"0110"
Farg‘ona HETK;Qo‘shtepa TETK;"111230227095";"0103066";"2024-08-01 14:45:36";"2024-08-01 14:45:36";Current unbalance occurrence;"0030"
Toshkent HETK;O‘rtachirchiq TETK;"111210147820";"2530478";"2024-07-24 14:38:59";"2024-07-24 14:38:59";Terminal cover opened;"0050"
Toshkent HETK;O‘rtachirchiq TETK;"111210139661";"1712036";"2024-07-08 21:39:21";"2024-07-08 21:39:21";Terminal cover opened;"0050"
Qashqadaryo HETK;Kitob TETK;"121205961591";"0027037";"2024-07-31 09:28:14";"2024-08-01 14:45:57";Terminal cover opened;"0050"
Qashqadaryo HETK;Kitob TETK;"121206376348";"0226289";"2024-07-27 16:49:40";"2024-07-31 19:02:00";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Kitob TETK;"121206376870";"0226173";"2024-07-28 16:59:23";"2024-07-28 16:59:23";Current unbalance occurrence;"0030"
Namangan HETK;Mingbuloq TETK;"111230260924";"14204!111230260924";"2024-07-31 20:54:28";"2024-07-31 20:54:28";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Koson TETK;"121206431037";"01040240";"2024-07-31 06:05:55";"2024-07-31 21:33:59";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Koson TETK;"121206747151";"00180876";"2024-07-31 10:24:00";"2024-07-31 20:19:19";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Koson TETK;"121206930340";"10229+!!121206930340";"2024-07-31 20:52:20";"2024-07-31 20:52:20";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Koson TETK;"121206910808";"01042006";"2024-07-31 20:44:31";"2024-07-31 20:44:31";Current unbalance occurrence;"0030"
Farg‘ona HETK;Farg‘ona TETK;"111200085199";"0694146";"2024-08-01 14:46:14";"2024-08-01 14:46:14";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206397402";"0226082";"2024-07-31 16:38:20";"2024-07-31 16:38:20";Current unbalance occurrence;"0030"
Namangan HETK;Mingbuloq TETK;"114210110797";-1;"2024-04-03 09:18:02";"2024-04-05 18:10:51";L2 Current without voltage occurrence;"0110"
Qashqadaryo HETK;Baxoriston ETK;"121205033062";"00250187";"2024-07-31 07:46:17";"2024-07-31 09:45:20";Current unbalance occurrence;"0030"
Qashqadaryo HETK;G‘uzor TETK;"121206017405";"0081034";"2024-07-31 20:00:02";"2024-07-31 22:53:51";Current unbalance occurrence;"0030"
Qashqadaryo HETK;G‘uzor TETK;"121206030172";"0081083";"2024-07-31 11:31:56";"2024-07-31 21:13:30";Current unbalance occurrence;"0030"
Qashqadaryo HETK;G‘uzor TETK;"121206034527";"0078247";"2024-07-31 06:32:53";"2024-07-31 06:32:53";Terminal cover opened;"0050"
Qashqadaryo HETK;Chiroqchi TETK;"121205113375";"0019211";"2024-07-31 14:05:29";"2024-07-31 14:05:29";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Chiroqchi TETK;"121205990239";"0022176";"2024-08-01 10:05:07";"2024-08-01 11:52:09";Terminal cover opened;"0050"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206338346";"0171010";"2024-07-31 09:15:11";"2024-07-31 16:35:42";Terminal cover opened;"0050"
Qashqadaryo HETK;Yakkabog‘ TETK;"121206422413";"0173506";"2024-07-31 20:52:10";"2024-07-31 20:52:10";Current unbalance occurrence;"0030"
Namangan HETK;Uchqo‘rg‘on TETK;"111190284767";"6213090";"2024-07-30 15:04:57";"2024-08-01 10:42:47";Terminal cover opened;"0050"
Namangan HETK;Uchqo‘rg‘on TETK;"111240296172";"6076139";"2024-07-31 20:35:24";"2024-07-31 20:35:24";Current unbalance occurrence;"0030"
Samarqand HETK;Kattaqo‘rg‘on ShETK;"021248408888";"252046";"2024-08-01 09:18:34";"2024-08-01 13:49:53";Current unbalance occurrence;"0030"
Samarqand HETK;Kattaqo‘rg‘on ShETK;"021238401705";"0042157";"2024-07-31 13:01:52";"2024-07-31 13:01:52";Current unbalance occurrence;"0030"
Namangan HETK;Pop TETK;"111201052226";"3332058";"2024-08-01 14:44:04";"2024-08-01 14:44:04";Current unbalance occurrence;"0030"
Namangan HETK;Chortoq TETK;"111240310647";"2733209";"2024-06-20 08:43:47";"2024-06-24 15:33:20";Terminal cover opened;"0050"
Namangan HETK;Chortoq TETK;"111200453904";"2761076";"2024-07-31 20:41:21";"2024-07-31 20:41:21";Terminal cover opened;"0050"
Namangan HETK;Yangiqo‘rg‘on TETK;"111240278000";-1;"2024-01-16 11:47:17";"2024-07-03 17:10:15";Terminal cover opened;"0050"
Namangan HETK;Yangiqo‘rg‘on TETK;"111200768472";"2979066";"2024-08-01 14:43:19";"2024-08-01 14:43:19";Current unbalance occurrence;"0030"
Namangan HETK;Pop TETK;"111210100868";"2424103";"2024-08-01 14:44:45";"2024-08-01 14:44:45";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Koson TETK;"121206911930";"00962166";"2024-07-30 21:40:20";"2024-08-01 01:38:14";Current unbalance occurrence;"0030"
